Sample_number,Production_system,Scan_type,Freshness,X908.1,X914.294,X920.489,X926.683,X932.877,X939.072,X945.266,X951.46,X957.655,X963.849,X970.044,X976.238,X982.432,X988.627,X994.821,X1001.015,X1007.21,X1013.404,X1019.598,X1025.793,X1031.987,X1038.181,X1044.376,X1050.57,X1056.764,X1062.959,X1069.153,X1075.348,X1081.542,X1087.736,X1093.931,X1100.125,X1106.319,X1112.514,X1118.708,X1124.902,X1131.097,X1137.291,X1143.485,X1149.68,X1155.874,X1162.069,X1168.263,X1174.457,X1180.652,X1186.846,X1193.04,X1199.235,X1205.429,X1211.623,X1217.818,X1224.012,X1230.206,X1236.401,X1242.595,X1248.789,X1254.984,X1261.178,X1267.373,X1273.567,X1279.761,X1285.956,X1292.15,X1298.344,X1304.539,X1310.733,X1316.927,X1323.122,X1329.316,X1335.51,X1341.705,X1347.899,X1354.094,X1360.288,X1366.482,X1372.677,X1378.871,X1385.065,X1391.26,X1397.454,X1403.648,X1409.843,X1416.037,X1422.231,X1428.426,X1434.62,X1440.814,X1447.009,X1453.203,X1459.398,X1465.592,X1471.786,X1477.981,X1484.175,X1490.369,X1496.564,X1502.758,X1508.952,X1515.147,X1521.341,X1527.535,X1533.73,X1539.924,X1546.119,X1552.313,X1558.507,X1564.702,X1570.896,X1577.09,X1583.285,X1589.479,X1595.673,X1601.868,X1608.062,X1614.256,X1620.451,X1626.645,X1632.839,X1639.034,X1645.228,X1651.423,X1657.617,X1663.811,X1670.006,X1676.2
378322,STD,0,1,0.9554887,0.9144717,0.8831252,0.8595921,0.8390304,0.830784,0.8364869,0.8524415,0.8699688,0.8883798,0.8975166,0.9036269,0.9049995,0.9046875,0.9023868,0.8973334,0.895522,0.8979578,0.8824248,0.8718989,0.8624324,0.8550907,0.8495383,0.8432771,0.8402905,0.8367674,0.8368164,0.8386693,0.8419042,0.8476644,0.8550642,0.8634486,0.872464,0.8822428,0.8943535,0.9148129,0.9431028,0.9819009,1.025969,1.06365,1.090205,1.107451,1.120898,1.130999,1.139961,1.146413,1.149464,1.151054,1.150877,1.149415,1.146594,1.144583,1.143388,1.141565,1.139874,1.138011,1.136143,1.136277,1.138304,1.141726,1.14676,1.15311,1.161272,1.172372,1.185361,1.200906,1.219104,1.238829,1.258604,1.278215,1.297087,1.313015,1.327862,1.342914,1.358683,1.377552,1.400897,1.428576,1.456859,1.478929,1.494055,1.504256,1.511121,1.516577,1.520423,1.523243,1.525525,1.52762,1.529707,1.530249,1.53006,1.530325,1.529383,1.528128,1.527641,1.526131,1.525391,1.523133,1.521422,1.520947,1.52307,1.519894,1.513784,1.509521,1.505798,1.50276,1.499818,1.496742,1.494315,1.491974,1.489389,1.48722,1.48399,1.482168,1.479388,1.477805,1.475906,1.473546,1.471777,1.469213,1.46824,1.467767,1.467301,1.467197,1.467698
374486,2 stars,0,0,0.940166,0.8981252,0.8649593,0.837677,0.8132539,0.8053188,0.8089845,0.8269911,0.8525988,0.8672711,0.879717,0.8869011,0.8906396,0.8937114,0.8902602,0.8867415,0.8790791,0.8755359,0.8654643,0.8571463,0.8439001,0.8394209,0.8329412,0.8267681,0.8216237,0.819486,0.8195342,0.8204257,0.8246861,0.8311116,0.8385609,0.847709,0.8564689,0.8663304,0.8777293,0.8975073,0.928988,0.972866,1.021528,1.06373,1.09362,1.11616,1.133565,1.147286,1.158053,1.166626,1.169989,1.171488,1.171825,1.171859,1.169578,1.168427,1.167177,1.165347,1.163562,1.16148,1.15988,1.159848,1.161929,1.165452,1.169973,1.177336,1.186438,1.197973,1.212922,1.229848,1.249134,1.270919,1.293144,1.315105,1.335527,1.352319,1.367302,1.381958,1.39794,1.418711,1.44504,1.476279,1.506531,1.529773,1.546888,1.558818,1.567585,1.575034,1.580117,1.583516,1.587178,1.589052,1.590301,1.59199,1.592239,1.591835,1.592439,1.59094,1.590162,1.589065,1.588263,1.586485,1.585107,1.583807,1.581872,1.578975,1.577338,1.574037,1.571532,1.567877,1.567305,1.563253,1.56134,1.558784,1.556122,1.554155,1.551093,1.550052,1.547315,1.546211,1.544042,1.542188,1.540553,1.537351,1.534922,1.534683,1.532418,1.529107,1.52786
378338,CF,2,0,0.9521154,0.9335431,0.9181772,0.9020975,0.8926278,0.887838,0.8961341,0.9041514,0.9139056,0.9248159,0.928414,0.9313396,0.933863,0.9327361,0.9335028,0.9304413,0.9292043,0.9305587,0.9210489,0.9142056,0.9108205,0.9035568,0.8993922,0.8953506,0.8926335,0.8909101,0.8896284,0.8906717,0.8922918,0.8953969,0.8994872,0.9027703,0.9076644,0.9124463,0.9208253,0.931461,0.9456367,0.9653737,0.9848022,1.002211,1.013148,1.020204,1.025847,1.030279,1.033673,1.03628,1.036671,1.036956,1.037551,1.037007,1.036051,1.035218,1.033598,1.031544,1.030414,1.029966,1.030121,1.030108,1.030096,1.030448,1.031501,1.032902,1.035501,1.040096,1.045068,1.050559,1.05628,1.061927,1.067509,1.072618,1.077583,1.082444,1.087005,1.091299,1.095555,1.100118,1.105324,1.111153,1.116907,1.122013,1.125622,1.128199,1.130375,1.132112,1.133378,1.134284,1.134581,1.134662,1.135029,1.135142,1.134968,1.135011,1.134545,1.134739,1.134977,1.134793,1.134794,1.134296,1.133002,1.132089,1.131425,1.129702,1.127954,1.127378,1.127357,1.12786,1.127876,1.127664,1.126617,1.125666,1.124114,1.122524,1.121636,1.120288,1.119708,1.120375,1.121004,1.121672,1.122219,1.122353,1.122967,1.122392,1.122118,1.121513,1.121539
378345,MAR,1,1,0.8952612,0.853713,0.8306118,0.7917135,0.7679048,0.7554067,0.77095,0.7778845,0.7891439,0.8170906,0.8200351,0.8224277,0.8246334,0.8196358,0.8177383,0.8123669,0.810634,0.8090219,0.7953107,0.7817158,0.7838407,0.7673686,0.7574791,0.7512931,0.7487528,0.7426192,0.7389411,0.7414412,0.7443001,0.7494656,0.7570609,0.7640775,0.7734098,0.7810683,0.7962586,0.8139353,0.8395785,0.8788006,0.9214175,0.9593033,0.9869909,1.004062,1.017794,1.026948,1.035824,1.043773,1.048156,1.051355,1.053663,1.050955,1.047887,1.04221,1.036878,1.031673,1.028636,1.027062,1.024616,1.024314,1.023275,1.025187,1.031406,1.035224,1.041875,1.053448,1.065492,1.081101,1.098153,1.115751,1.13495,1.15235,1.169087,1.18419,1.197793,1.211974,1.227449,1.247199,1.271456,1.298249,1.325849,1.35162,1.369983,1.381879,1.389397,1.392875,1.396817,1.400362,1.400703,1.402877,1.40497,1.40483,1.404091,1.40425,1.401574,1.401286,1.397897,1.394251,1.391638,1.390602,1.385898,1.383964,1.384974,1.380355,1.372557,1.367852,1.363858,1.363033,1.356595,1.355096,1.350011,1.34645,1.343302,1.339257,1.337904,1.333452,1.332155,1.328676,1.326657,1.32422,1.321927,1.321472,1.321226,1.318005,1.320062,1.324492,1.325809
378348,MAR,0,0,0.7932959,0.7532976,0.7191292,0.6917599,0.6719848,0.6630689,0.6660473,0.679912,0.6983249,0.7119729,0.7193775,0.7233155,0.7251391,0.7253504,0.723058,0.7185795,0.715983,0.7200013,0.7041184,0.6945677,0.685171,0.6787024,0.6726625,0.667429,0.6631534,0.6607683,0.6604564,0.6613095,0.6644511,0.6694735,0.6765954,0.6839248,0.6923241,0.701646,0.7129346,0.732632,0.7607507,0.7998222,0.8457042,0.8864067,0.9159524,0.9370565,0.9520948,0.9636791,0.9740726,0.9828367,0.9882751,0.9911898,0.992209,0.9905987,0.9854227,0.9799681,0.9748679,0.9707329,0.9670922,0.963838,0.9615054,0.9612669,0.9621392,0.9647782,0.9699094,0.9768675,0.9858652,0.9980518,1.013428,1.031615,1.052964,1.076815,1.102046,1.12718,1.151233,1.172939,1.192504,1.212714,1.235083,1.262529,1.299055,1.344441,1.392119,1.431471,1.459291,1.478906,1.491865,1.500586,1.506634,1.511005,1.514804,1.518106,1.519407,1.519715,1.520417,1.518858,1.51713,1.51478,1.51195,1.508708,1.505345,1.501761,1.498107,1.496735,1.498054,1.489737,1.480698,1.472459,1.465063,1.45905,1.453486,1.44753,1.442668,1.436912,1.431546,1.426501,1.421196,1.41718,1.412391,1.408621,1.404365,1.400492,1.396828,1.392132,1.38848,1.387087,1.385514,1.385059,1.386465
378318,STD,0,1,1.047115,1.006022,0.9726822,0.9573985,0.9384082,0.9358784,0.9347961,0.9598004,0.989107,1.001225,1.01545,1.022862,1.02745,1.03065,1.025436,1.020957,1.014361,1.018441,0.9986221,0.9873903,0.9624983,0.9633665,0.9570841,0.9501985,0.9412726,0.9396698,0.9401911,0.9402029,0.94268,0.9480983,0.9553253,0.9650357,0.974093,0.9869595,0.9964115,1.019611,1.053991,1.096581,1.145589,1.187451,1.213946,1.234942,1.249935,1.260964,1.270318,1.275474,1.279636,1.280596,1.279596,1.28028,1.276855,1.27462,1.272113,1.270386,1.268505,1.265319,1.263503,1.262689,1.265029,1.26868,1.272521,1.281025,1.290256,1.299998,1.313899,1.328737,1.346858,1.367881,1.387321,1.408931,1.428303,1.443455,1.457937,1.472197,1.48714,1.503081,1.524185,1.55163,1.576319,1.593589,1.605703,1.61361,1.619848,1.627539,1.630753,1.631901,1.635568,1.636426,1.636126,1.637389,1.638115,1.637568,1.638386,1.636298,1.636064,1.63618,1.634787,1.63263,1.632579,1.634498,1.635887,1.632418,1.628139,1.624034,1.622026,1.616903,1.617249,1.612646,1.612539,1.609895,1.607781,1.606925,1.603444,1.603198,1.599958,1.599605,1.596893,1.594739,1.593676,1.589819,1.587546,1.587776,1.582308,1.575223,1.571459
377453,FR,2,1,1.087076,1.076538,1.067483,1.06828,1.059607,1.057263,1.057547,1.065779,1.074314,1.076916,1.081869,1.084293,1.085823,1.084161,1.083542,1.084756,1.090887,1.123835,1.09149,1.079107,1.069984,1.06929,1.066655,1.065809,1.064274,1.064074,1.064473,1.064037,1.064203,1.066603,1.068923,1.070689,1.073187,1.075648,1.079932,1.093254,1.099227,1.102588,1.108623,1.116042,1.119993,1.122989,1.125173,1.127994,1.129025,1.130567,1.131581,1.131544,1.132133,1.132239,1.130562,1.129691,1.12886,1.128039,1.12694,1.126318,1.125769,1.126034,1.125932,1.125806,1.126165,1.126349,1.126994,1.128235,1.12975,1.13151,1.133569,1.135524,1.136589,1.137805,1.139352,1.141075,1.143464,1.146267,1.147639,1.147638,1.147827,1.149506,1.151492,1.152256,1.152049,1.152096,1.152778,1.153807,1.154121,1.154598,1.155027,1.155382,1.155093,1.154921,1.154791,1.154798,1.154794,1.155349,1.155767,1.156064,1.156135,1.156166,1.156333,1.158135,1.160549,1.159665,1.156911,1.155164,1.154553,1.154224,1.154369,1.154045,1.154111,1.153844,1.153816,1.153417,1.152945,1.15271,1.152142,1.152146,1.151845,1.15128,1.151235,1.150352,1.150575,1.150449,1.149624,1.148724,1.148153
374471,CONV,0,0,0.9784182,0.9372582,0.9069024,0.8777678,0.8552734,0.8463006,0.8519834,0.8686409,0.8898041,0.907773,0.920004,0.9275631,0.9306545,0.9317557,0.9291046,0.9252127,0.9204448,0.916854,0.9069915,0.897795,0.8891869,0.8817144,0.8749449,0.8697857,0.8657722,0.8621643,0.861852,0.8628138,0.8661203,0.8717018,0.8789707,0.8871596,0.8948897,0.9032006,0.9143812,0.9320263,0.9609622,1.002079,1.048069,1.087398,1.116474,1.136371,1.152196,1.164341,1.174333,1.182134,1.186636,1.187172,1.186763,1.18579,1.183894,1.181961,1.181086,1.179613,1.177256,1.175131,1.173023,1.172781,1.173984,1.177492,1.182186,1.188735,1.197354,1.20837,1.22249,1.239304,1.258626,1.279731,1.301303,1.322779,1.343038,1.359597,1.374273,1.388512,1.404783,1.426039,1.451914,1.481908,1.511699,1.53616,1.553004,1.564488,1.573187,1.579741,1.58396,1.587023,1.59035,1.592717,1.594149,1.59569,1.594951,1.595228,1.593971,1.592511,1.590675,1.589599,1.587232,1.585099,1.582409,1.580315,1.579004,1.575243,1.57234,1.568817,1.565399,1.561571,1.559545,1.555911,1.553199,1.55129,1.548503,1.545221,1.54263,1.540001,1.538332,1.536315,1.534444,1.532109,1.529923,1.52649,1.523327,1.52267,1.521602,1.521653,1.520242
377468,MAR,1,1,0.9965478,0.9598354,0.934927,0.9113046,0.896255,0.89004,0.8967943,0.9104779,0.9279979,0.9449247,0.9502286,0.9532272,0.9544045,0.9513297,0.9499258,0.9458038,0.9473432,0.9617399,0.9351695,0.9194842,0.9116493,0.9025323,0.8961818,0.8896624,0.8854323,0.8817231,0.8798636,0.8812227,0.8841671,0.889404,0.8955444,0.9028247,0.911334,0.9196503,0.9317948,0.9538673,0.9784552,1.00882,1.044736,1.075603,1.09847,1.113086,1.122897,1.130601,1.13887,1.144634,1.149175,1.151912,1.154028,1.153074,1.148875,1.143126,1.137654,1.133675,1.130741,1.128537,1.127109,1.126863,1.12712,1.128628,1.132441,1.136835,1.142461,1.150489,1.159767,1.170833,1.183293,1.196305,1.209899,1.222931,1.234963,1.24641,1.256974,1.267757,1.279242,1.29135,1.306928,1.327348,1.349541,1.36857,1.382516,1.394253,1.403325,1.409779,1.414745,1.417786,1.41968,1.421319,1.422265,1.423192,1.422521,1.42137,1.418637,1.416599,1.413087,1.409591,1.406486,1.403506,1.40082,1.400564,1.402577,1.397739,1.389201,1.382913,1.379227,1.375839,1.372141,1.369474,1.366198,1.36356,1.361241,1.358824,1.356831,1.354459,1.352787,1.351026,1.349286,1.34801,1.34679,1.345502,1.345344,1.3448,1.345082,1.346193,1.347414
377479,STD,2,1,0.81879,0.7940876,0.7726947,0.7504907,0.7366815,0.7332037,0.7406937,0.7529706,0.7688067,0.7812379,0.7872146,0.7892772,0.7920688,0.7907618,0.7895369,0.7852802,0.785449,0.794714,0.7751545,0.7619414,0.7568049,0.7471077,0.7414328,0.7354537,0.7314662,0.7285834,0.7273758,0.7280026,0.7306067,0.7350045,0.7409572,0.7477301,0.7551243,0.7628574,0.7733151,0.7912552,0.8124788,0.8404187,0.8721645,0.8992054,0.9172212,0.9295301,0.9383097,0.9452742,0.9515145,0.9568083,0.9599841,0.9620485,0.9640024,0.9633783,0.9614536,0.9581234,0.9550994,0.9523045,0.9502318,0.9483967,0.9473584,0.9472571,0.9473227,0.9482379,0.9513578,0.9548878,0.9596117,0.9664863,0.9746469,0.984051,0.9942142,1.005024,1.016082,1.026694,1.036131,1.044626,1.052403,1.060109,1.068199,1.076692,1.087663,1.100907,1.114065,1.123844,1.129971,1.134788,1.138523,1.140803,1.142774,1.144151,1.144904,1.145463,1.145589,1.145443,1.145399,1.145423,1.144781,1.14408,1.143183,1.142484,1.141499,1.140786,1.139802,1.140398,1.142346,1.1398,1.13597,1.133127,1.131233,1.129773,1.128485,1.127136,1.125632,1.124129,1.122614,1.121419,1.120325,1.118957,1.117631,1.116628,1.115392,1.114571,1.113643,1.112567,1.112436,1.112039,1.111944,1.112554,1.113781
